DATE_KEY,INVOICE_NO,PRODUCT_KEY,PRODUCT_DESCRIPTION
20110205,64131,121189,CHILLED    DRINK               @330ML
20110205,64206,121189,CHILLED    DRINK               @330ML
20110205,64228,121189,CHILLED    DRINK               @330ML
20110205,77983,121189,CHILLED    DRINK               @330ML
20110205,77986,121189,CHILLED    DRINK               @330ML
20110205,78190,121189,CHILLED    DRINK               @330ML
20110205,78268,121189,CHILLED    DRINK               @330ML
20110205,78300,121189,CHILLED    DRINK               @330ML
20110205,78506,121189,CHILLED    DRINK               @330ML
20110205,51670,121189,CHILLED    DRINK               @330ML
20110205,51690,121189,CHILLED    DRINK               @330ML
20110205,51728,121189,CHILLED    DRINK               @330ML
20110205,51771,121189,CHILLED    DRINK               @330ML
20110205,34746,121189,CHILLED    DRINK               @330ML
20110205,34787,121189,CHILLED    DRINK               @330ML
20110205,41406,121189,CHILLED    DRINK               @330ML
20110205,41433,121189,CHILLED    DRINK               @330ML
20110205,41440,121189,CHILLED    DRINK               @330ML
20110205,41490,121189,CHILLED    DRINK               @330ML
20110205,41494,121189,CHILLED    DRINK               @330ML
20110205,41552,121189,CHILLED    DRINK               @330ML
20110205,41592,121189,CHILLED    DRINK               @330ML
20110205,41619,121189,CHILLED    DRINK               @330ML
20110205,41651,121189,CHILLED    DRINK               @330ML
20110205,41755,121189,CHILLED    DRINK               @330ML
20110205,41772,121189,CHILLED    DRINK               @330ML
20110205,54891,121189,CHILLED    DRINK               @330ML
20110206,93876,121189,CHILLED    DRINK               @330ML
20110206,93907,121189,CHILLED    DRINK               @330ML
20110206,93928,121189,CHILLED    DRINK               @330ML
20110206,94052,121189,CHILLED    DRINK               @330ML
20110206,94078,121189,CHILLED    DRINK               @330ML
20110206,94212,121189,CHILLED    DRINK               @330ML
20110206,94242,121189,CHILLED    DRINK               @330ML
20110206,94380,121189,CHILLED    DRINK               @330ML
20110206,94446,121189,CHILLED    DRINK               @330ML
20110206,94647,121189,CHILLED    DRINK               @330ML
20110206,94705,121189,CHILLED    DRINK               @330ML
20110206,40361,121189,CHILLED    DRINK               @330ML
20110206,40416,121189,CHILLED    DRINK               @330ML
20110206,40485,121189,CHILLED    DRINK               @330ML
20110206,40491,121189,CHILLED    DRINK               @330ML
20110206,40504,121189,CHILLED    DRINK               @330ML
20110206,40593,121189,CHILLED    DRINK               @330ML
20110206,40760,121189,CHILLED    DRINK               @330ML
20110206,78970,121189,CHILLED    DRINK               @330ML
20110206,79008,121189,CHILLED    DRINK               @330ML
20110206,1347,121189,CHILLED    DRINK               @330ML
20110206,1619,121189,CHILLED    DRINK               @330ML
20110206,8002,121189,CHILLED    DRINK               @330ML
20110206,24015,121189,CHILLED    DRINK               @330ML
20110206,24039,121189,CHILLED    DRINK               @330ML
20110206,24104,121189,CHILLED    DRINK               @330ML
20110206,24229,121189,CHILLED    DRINK               @330ML
20110206,7290,121189,CHILLED    DRINK               @330ML
20110206,7334,121189,CHILLED    DRINK               @330ML
20110206,52702,121189,CHILLED    DRINK               @330ML
20110206,72541,121189,CHILLED    DRINK               @330ML
20110206,72567,121189,CHILLED    DRINK               @330ML
20110206,72590,121189,CHILLED    DRINK               @330ML
20110206,65334,121189,CHILLED    DRINK               @330ML
20110206,65339,121189,CHILLED    DRINK               @330ML
20110206,65830,121189,CHILLED    DRINK               @330ML
20110206,66019,121189,CHILLED    DRINK               @330ML
20110206,78990,121189,CHILLED    DRINK               @330ML
20110206,79139,121189,CHILLED    DRINK               @330ML
20110206,51904,121189,CHILLED    DRINK               @330ML
20110206,52016,121189,CHILLED    DRINK               @330ML
20110206,52047,121189,CHILLED    DRINK               @330ML
20110206,52090,121189,CHILLED    DRINK               @330ML
20110206,52110,121189,CHILLED    DRINK               @330ML
20110206,52111,121189,CHILLED    DRINK               @330ML
20110206,52119,121189,CHILLED    DRINK               @330ML
20110206,52135,121189,CHILLED    DRINK               @330ML
20110206,41875,121189,CHILLED    DRINK               @330ML
20110207,40958,121189,CHILLED    DRINK               @330ML
20110207,41028,121189,CHILLED    DRINK               @330ML
20110207,41068,121189,CHILLED    DRINK               @330ML
20110207,41138,121189,CHILLED    DRINK               @330ML
20110207,41173,121189,CHILLED    DRINK               @330ML
20110207,41252,121189,CHILLED    DRINK               @330ML
20110207,79731,121189,CHILLED    DRINK               @330ML
20110207,9031,121189,CHILLED    DRINK               @330ML
20110207,67177,121189,CHILLED    DRINK               @330ML
20110207,67257,121189,CHILLED    DRINK               @330ML
20110207,79853,121189,CHILLED    DRINK               @330ML
20110207,52302,121189,CHILLED    DRINK               @330ML
20110207,52331,121189,CHILLED    DRINK               @330ML
20110207,52358,121189,CHILLED    DRINK               @330ML
20110207,52413,121189,CHILLED    DRINK               @330ML
20110207,35135,121189,CHILLED    DRINK               @330ML
20110207,42017,121189,CHILLED    DRINK               @330ML
20110207,42067,121189,CHILLED    DRINK               @330ML
20110207,72126,121189,CHILLED    DRINK               @330ML
20110207,72272,121189,CHILLED    DRINK               @330ML
20110208,96026,121189,CHILLED    DRINK               @330ML
20110208,96216,121189,CHILLED    DRINK               @330ML
20110208,96391,121189,CHILLED    DRINK               @330ML
20110208,96437,121189,CHILLED    DRINK               @330ML
20110208,96477,121189,CHILLED    DRINK               @330ML
20110208,96604,121189,CHILLED    DRINK               @330ML
20110208,96642,121189,CHILLED    DRINK               @330ML
20110208,96678,121189,CHILLED    DRINK               @330ML
20110208,96710,121189,CHILLED    DRINK               @330ML
20110208,96724,121189,CHILLED    DRINK               @330ML
20110208,96919,121189,CHILLED    DRINK               @330ML
20110208,97046,121189,CHILLED    DRINK               @330ML
20110208,97079,121189,CHILLED    DRINK               @330ML
20110208,97080,121189,CHILLED    DRINK               @330ML
20110208,34436,121189,CHILLED    DRINK               @330ML
20110208,41713,121189,CHILLED    DRINK               @330ML
20110208,41782,121189,CHILLED    DRINK               @330ML
20110208,41884,121189,CHILLED    DRINK               @330ML
20110208,80553,121189,CHILLED    DRINK               @330ML
20110208,17537,121189,CHILLED    DRINK               @330ML
20110208,25422,121189,CHILLED    DRINK               @330ML
20110208,25537,121189,CHILLED    DRINK               @330ML
20110208,7960,121189,CHILLED    DRINK               @330ML
20110208,68075,121189,CHILLED    DRINK               @330ML
20110208,68432,121189,CHILLED    DRINK               @330ML
20110208,80379,121189,CHILLED    DRINK               @330ML
20110208,80490,121189,CHILLED    DRINK               @330ML
20110208,80851,121189,CHILLED    DRINK               @330ML
20110208,52469,121189,CHILLED    DRINK               @330ML
20110208,52584,121189,CHILLED    DRINK               @330ML
20110208,52764,121189,CHILLED    DRINK               @330ML
20110208,35225,121189,CHILLED    DRINK               @330ML
20110208,35228,121189,CHILLED    DRINK               @330ML
20110208,42294,121189,CHILLED    DRINK               @330ML
20110208,72599,121189,CHILLED    DRINK               @330ML
20110208,72785,121189,CHILLED    DRINK               @330ML
20110208,72870,121189,CHILLED    DRINK               @330ML
20110209,97245,121189,CHILLED    DRINK               @330ML
20110209,97365,121189,CHILLED    DRINK               @330ML
20110209,97576,121189,CHILLED    DRINK               @330ML
20110209,97581,121189,CHILLED    DRINK               @330ML
20110209,97761,121189,CHILLED    DRINK               @330ML
20110209,97793,121189,CHILLED    DRINK               @330ML
20110209,34640,121189,CHILLED    DRINK               @330ML
20110209,41991,121189,CHILLED    DRINK               @330ML
20110209,42081,121189,CHILLED    DRINK               @330ML
20110209,42205,121189,CHILLED    DRINK               @330ML
20110209,42425,121189,CHILLED    DRINK               @330ML
20110209,42494,121189,CHILLED    DRINK               @330ML
20110209,42518,121189,CHILLED    DRINK               @330ML
20110209,3951,121189,CHILLED    DRINK               @330ML
20110209,63164,121189,CHILLED    DRINK               @330ML
20110209,8262,121189,CHILLED    DRINK               @330ML
20110209,69109,121189,CHILLED    DRINK               @330ML
20110209,69138,121189,CHILLED    DRINK               @330ML
20110209,81146,121189,CHILLED    DRINK               @330ML
20110209,81601,121189,CHILLED    DRINK               @330ML
20110130,73855,113261,Milk
20110130,95379,113261,Milk
20110130,95591,113261,Milk
20110130,95616,113261,Milk
20110130,95919,113261,Milk
20110130,96005,113261,Milk
20110130,30717,113261,Milk
20110130,30768,113261,Milk
20110130,71067,113261,Milk
20110130,71130,113261,Milk
20110130,71156,113261,Milk
20110130,71264,113261,Milk
20110130,71650,113261,Milk
20110130,11278,113261,Milk
20110130,11287,113261,Milk
20110130,58551,113261,Milk
20110130,43851,113261,Milk
20110130,3642,113261,Milk
20110130,4162,113261,Milk
20110130,4168,113261,Milk
20110130,48585,113261,Milk
20110130,48625,113261,Milk
20110130,64525,113261,Milk
20110130,65009,113261,Milk
20110130,65091,113261,Milk
20110130,65151,113261,Milk
20110130,57128,113261,Milk
20110130,57184,113261,Milk
20110130,57196,113261,Milk
20110130,57264,113261,Milk
20110130,57281,113261,Milk
20110130,57295,113261,Milk
20110130,57346,113261,Milk
20110130,57672,113261,Milk
20110130,57928,113261,Milk
20110130,57991,113261,Milk
20110130,58037,113261,Milk
20110130,50352,113261,Milk
20110130,33966,113261,Milk
20110130,31126,113261,Milk
20110130,31197,113261,Milk
20110131,96170,113261,Milk
20110131,96452,113261,Milk
20110131,96828,113261,Milk
20110131,30940,113261,Milk
20110131,11571,113261,Milk
20110131,11617,113261,Milk
20110131,11927,113261,Milk
20110131,11936,113261,Milk
20110131,12006,113261,Milk
20110131,4135,113261,Milk
20110131,4258,113261,Milk
20110131,4382,113261,Milk
20110131,21082,113261,Milk
20110131,21167,113261,Milk
20110131,21294,113261,Milk
20110131,4272,113261,Milk
20110131,66109,113261,Milk
20110131,66156,113261,Milk
20110131,58288,113261,Milk
20110131,58358,113261,Milk
20110131,58371,113261,Milk
20110131,58404,113261,Milk
20110131,58435,113261,Milk
20110131,58641,113261,Milk
20110131,58783,113261,Milk
20110131,59051,113261,Milk
20110131,59210,113261,Milk
20110131,74130,113261,Milk
20110131,52955,113261,Milk
20110131,53000,113261,Milk
20110131,68959,113261,Milk
20110201,89461,113261,Milk
20110201,96986,113261,Milk
20110201,97467,113261,Milk
20110201,97485,113261,Milk
20110201,97703,113261,Milk
20110201,72474,113261,Milk
20110201,12472,113261,Milk
20110201,12704,113261,Milk
20110201,12777,113261,Milk
20110201,12883,113261,Milk
20110201,12899,113261,Milk
20110201,12951,113261,Milk
20110201,22317,113261,Milk
20110201,22366,113261,Milk
20110201,4506,113261,Milk
20110201,4575,113261,Milk
20110201,49736,113261,Milk
20110201,49771,113261,Milk
20110201,49904,113261,Milk
20110201,49905,113261,Milk
20110201,66351,113261,Milk
20110201,66728,113261,Milk
20110201,66920,113261,Milk
20110201,67197,113261,Milk
20110201,59801,113261,Milk
20110201,59807,113261,Milk
20110201,59831,113261,Milk
20110201,60030,113261,Milk
20110201,60084,113261,Milk
20110201,60272,113261,Milk
20110201,40561,113261,Milk
20110201,53577,113261,Milk
20110201,69269,113261,Milk
20110201,69484,113261,Milk
20110202,75553,113261,Milk
20110202,75603,113261,Milk
20110202,75893,113261,Milk
20110202,75986,113261,Milk
20110202,76135,113261,Milk
20110202,76144,113261,Milk
20110202,98176,113261,Milk
20110202,98370,113261,Milk
20110202,73356,113261,Milk
20110202,73595,113261,Milk
20110202,73723,113261,Milk
20110202,13011,113261,Milk
20110202,13185,113261,Milk
20110202,13342,113261,Milk
20110202,59892,113261,Milk
20110202,5765,113261,Milk
20110202,4988,113261,Milk
20110202,50024,113261,Milk
20110202,50492,113261,Milk
20110202,50500,113261,Milk
20110202,67950,113261,Milk
20110202,60707,113261,Milk
20110202,61089,113261,Milk
20110202,61210,113261,Milk
20110202,61245,113261,Milk
20110202,61381,113261,Milk
20110202,61384,113261,Milk
20110202,61446,113261,Milk
20110202,75760,113261,Milk
20110202,31710,113261,Milk
20110202,53716,113261,Milk
20110202,53873,113261,Milk
20110203,91174,113261,Milk
20110203,91248,113261,Milk
20110203,76414,113261,Milk
20110203,76666,113261,Milk
20110203,76800,113261,Milk
20110203,98851,113261,Milk
20110203,98856,113261,Milk
20110203,98958,113261,Milk
20110203,99137,113261,Milk
20110203,31256,113261,Milk
20110203,6248,113261,Milk
20110203,5650,113261,Milk
20110203,3376,113261,Milk
